brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,"Smartphone Xiaomi Redmi Note 14 5g 8+8gb + 256gb, Verde",,4.7,(46),1.799,179
SAMSUNG,Smartphone Samsung Galaxy A25 5G 8GB RAM 256GB Tela de 6.5,Por Loi Brasil ,4.8,(266),1.999,1.377
MOTOROLA,Smartphone Motorola Moto G35 5g - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Coral - Vegan Leather,Por Motorola ,4.5,(2772),1.699,1.169
,Smartphone Multilaser E Lite 32gb Preto P9126,,3.7,(1016),499,399
,Realme C67 Dual SIM 256 GB preto 8 GB RAM,,4.7,(4473),1.158,115
MOTOROLA,Smartphone Motorola Moto G55 5g - 256gb 16gb Ram Boost E Camera 50mp Com Ai Nfc Tela 6.5 Com Superbrilho - Rosa,Por Mobcom ,4.6,(35),1.710,1.308
TCL,"TCL Celular Smartphone 505 4g, 128gb, 8GB Ramboost(4 + 4), Tela Hd+ 6,75'', Dual Sim, NFC, Câmera Dupla 50mp + 2mp E Frontal 5mp - Azul",Por Mega Mamute ,4.5,(8),1.249,748
MOTOROLA,"Smartphone Moto G04s 128gb Processador Unisoc T606 Tela De 6,6'' 4 Gb De Ram Cor Grafite Motorola",,4.7,(5598),755,75
MOTOROLA,"Smartphone Motorola Moto g24 Power - 128GB, 4 GB Ram + 4 GB Ram Boost, Camera 50MP com Moto AI 6000 mAh - Azul Celeste",Por Motorola ,4.6,(354),944,734
,Xiaomi Poco C75 Dual Sim 256 Gb Verde 8 Gb RAM,,4.7,(1686),896,89
SAMSUNG,Smartphone Samsung Galaxy Z Fold6 512gb 5g 12gb Ram Tela 7.6 Azul,Por Samsung ,5.0,(11),9.549,6.999
MOTOROLA,Smartphone Motorola Moto G24 256gb 4gb Rosa + Ubook,Por Mobcom ,,,1.425,727
MOTOROLA,Smartphone Motorola Moto G24 256gb 4gb Grafite + Ubook,Por Mobcom ,5.0,(1),1.425,727
SAMSUNG,Smartphone Samsung Galaxy Z Fold6 5g 512gb 12gb 7.6 Azul,Por Mobcom ,5.0,(5),9.699,6.911
MOTOROLA,Smartphone Motorola Moto G75 5g 256gb 16gb Ram Boost 50mp,Por Carrefour ,4.6,(28),2.199,1.699
SAMSUNG,"Samsung Galaxy S24 FE 5G 256GB 8GB RAM Tela 6.7"" Câm. Tripla 50+12+8MP Frontal 10MP, Galaxy AI - Azul",Por Samsung ,4.9,(594),5.699,3.219
MOTOROLA,"Smartphone Motorola Moto g55 5G - 256GB 16GB (8GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.5"" com Superbrilho - Preto",Por Mobcom ,4.6,(35),1.710,1.308
SAMSUNG,"Smartphone Samsung Galaxy A05s 4G 128GB 6GB RAM Câmera Traseira Tripla 50MP + 2MP + 2MP + Selfie 13MP Tela 6.7"" Preto",Por Mobcom ,4.8,(17218),854,752
MOTOROLA,Motorola Moto G54 5g 256 Gb Azul 8 Gb Ram,,4.7,(126),1.340,134
,Xiaomi Poco C65 Dual SIM 256 GB Preto 8 GB RAM,,4.6,(13400),999,99
MOTOROLA,Smartphone Motorola Edge 50 Ultra 5G - 512GB 24GB (12GB RAM+12GB Ram Boost) 50MP Ultra-Pixel AI Camera IP68 NFC - Wood,Por Motorola ,5.0,(16),5.050,505
,Infinix Hot 30i Dual SIM 128 GB mirror black 4 GB RAM,,4.6,(1272),949,799
SAMSUNG,Smartphone Galaxy A03 Tela 6.5'' 64gb 4gb Ram Azul Samsung - Bom (Recondicionado),,4.0,(17),569,56
,ZTE Blade A3 Dual Sim 32 GB 1 GB Ram- Azul Mágico 4G,,4.2,(664),419,52
,Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 512 GB cinza 12 GB RAM,,4.8,(2518),1.980,190
SAMSUNG,"Samsung Galaxy S25+ 5g, 256gb, 12gb, Câmera Tripla - Azul",,4.9,(66),5.099,490
,Smartphone Xiaomi Poco C75 Dual Sim 8gb 256gb + Brindes,,,,1.539,1.262
MOTOROLA,Smartphone Moto G30 6.5'' 128gb 4gb Ram Dark Prism Motorola,,4.7,(2576),1.250,125
,Smartphone Multilaser G Max 2 64gb Preto P9168,,4.3,(281),599,59
,Celular Realme 12x 5g 128gb Dual Sim 6gb Smartphone Verde Nfc,Por Realme ,4.7,(273),2.145,1.180
MOTOROLA,Smartphone Motorola Moto G35 5g - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Grafite - Vegan Leather,,4.5,(2772),884,85
,"Smartphone Infinix Note 40 5g 12gb Ram 512gb Armazenamento + Pad De Carregamento Sem Fio, Câmera Tripla 108mp+ Selfie 32mp, Tela 6,78 Fhd+ 120hz, Sound By Jbl, Bateria 5000mah - Racing Edition",Por Infinix ,4.6,(160),3.499,2.279
,Smartphone Multilaser E 2 P9148 3g 32gb Tela 5 1gb Ram Preto,,3.7,(18),320,53
MOTOROLA,Smartphone Motorola Moto G55 5g - 256gb 16gb Ram Boost E Camera 50mp Com Ai Nfc Tela 6.5 Com Superbrilho - Rosa,Por Mobcom ,4.6,(35),1.710,1.308
,"Smartphone Infinix Note 40 5g 12gb Ram 512gb Armazenamento + Pad De Carregamento Sem Fio, Câmera Tripla 108mp+ Selfie 32mp, Tela 6,78 Fhd+ 120hz, Sound By Jbl, Bateria 5000mah - Preto",Por Infinix ,4.5,(141),3.199,2.599
