MARCA,DESCRIÇÃO,VENDIDO POR,AVALIAÇÕES,QUANTIDADE DE AVALIAÇÕES,PREÇO ANTIGO,PREÇO NOVO,TIPO
Indefinido,Tapete Grande Office Mouse Pad Preto Caramelo impermeável Dupla Face Geonav,,4.8,221,49.0,,Notebook
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Blue - Nj982",Por Asus,4.7,167,3.099,2.758,Notebook
LENOVO,Notebook Lenovo Ultrafino Ideapad 3i I3-1215u 8gb 256gb Ssd,Por Login,,,3.199,2.849,Notebook
ACER,Notebook Gam Nitro V Anv15-51-54dl I5 8gb 512gb Ssd Rtx4050,Por Acer Brasil,4.8,316,7.299,5.699,Notebook
Apple,"MacBook Air M1 2020 13"" cinza-espacial 8GB de Ram - 256GB SSD - Apple Chip - Distribuidor Autorizado",Por Apple,4.9,259,12.999,7.599,Notebook
ASUS,"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 7730u 16gb Ram 512gb Ssd Linux Keepos 15,6 Fhd Cool Silver - Nj495",Por Asus,5.0,4,3.799,379.0,Notebook
Vaio,Notebook Vaio Fe 16 Amd Ryzen 5 - 5625u Linux 12gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b1211h,Por Eshop,,,3.899,3.39,Notebook
ACER,Notebook Acer Aspire 54e6 Ci5 13ªg 8gb 512ssd W11 Home 15.6,Por Acer Brasil,5.0,7,3.599,3.299,Notebook
LENOVO,"Ultrabook Lenovo ThinkPad L14 preto 14"", AMD AMD Ryzen 5 PRO 4650U 4650U 8 GB de RAM 256 GB SSD, AMD Radeon Graphics 60 Hz 1366x768px Windows 10 Pro",Por Itotal,5.0,5,4.223,3.378,Notebook
DELL,Notebook Gamer Dell G15-i1300-a50p I7 16gb 512gb 15.6'' W11,,4.8,185,7.5,750.0,Notebook
ASUS,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",Por Asus,4.9,82,2.772,266.0,Notebook
ACER,Notebook Acer Aspire 3 Ci3 15.6  Uhd 256gb 8gb Debian 64bits,Por Mobcom,5.0,1,3.099,2.549,Notebook
Positivo,Notebook Positivo Master N1250 Pentium N5030 4gb 128gb W11 Cor Cinza,,4.6,575,2.198,219.0,Notebook
DELL,Notebook Dell Latitude 5490 Core I5 8th 16gb Ram 256gb Ssdm,,4.2,71,2.999,299.0,Notebook
Positivo,Hub Usb-c 3.2 Multi Dispositivos 4 Portas Aluminio Geonav,,4.3,12,199.0,33.0,Notebook
LENOVO,"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",Por Micro Livre,,,2.977,297.0,Notebook
Vaio,Notebook Vaio Fe 16 Amd Ryzen 7 - 5825u Linux 8gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0321h,Por Vaio,,,4.299,3.499,Notebook
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Fast Shop,4.9,555,3.13,313.0,Notebook
DELL,Notebook Dell Inspiron I15i120km15p 8GB 512GB 15 6 Full Hd 12 Cor Preto,,5.0,1,3.59,359.0,Notebook
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,Por Asus,4.9,11,5.699,5.089,Notebook
DELL,Notebook Dell Latitude 5480 Core Intel I7 16gb Ram Ssd 256gb,,5.0,8,1.999,200.0,Notebook
Indefinido,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável e antiderrapante Toque macio Geonav Preto E Cinza,,4.8,27,67.0,33.0,Notebook
HP,Notebook Hp 256r G9 Ci3 15.6  Uhd Graphics 256gb Ssd 8gb W11,Por HP,5.0,7,3.299,2.799,Notebook
ACER,Chromebook Acer Co731c6nn Intel Celeron 4gb Emmc32gb Chros,,4.5,2,1.789,1.429,Notebook
Indefinido,"Notebook Ultra, Com Windows 11 Pro, Tela 14 Pol Ul154i5wpro Cor Preto",Por Loja Multi,4.5,2,2.399,239.0,Notebook
DELL,Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2,,4.3,118,2.499,240.0,Notebook
ASUS,Notebook Asus Vivobook Intel Core I5 1235u 16gb 512ssd W11,Por Asus,,,4.499,4.019,Notebook
Indefinido,"Bloco Rhodia Edição 90 Anos & Paper People 8,3x11,8cm 80 Fls",,,,29.0,2.0,Notebook
DELL,"Notebook gamer G15 I1300 15.6"" preto 32GB de Ram - 1.024TB SSD - Intel Core i5",,5.0,6,8.29,829.0,Notebook
Indefinido,"Bloco Rhodia Edição 90 Anos & Paper People 14,6x20,8cm 80fls",,,,54.0,5.0,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
Positivo,"Notebook Positivo Vision I15 Lumina Bar, Core I3, 11th, 8gb 512gb Ssd, Tela 15 Polegadas, Full Hd Antirreflexo, Windows 11 - Cinza",Por Positivo,4.8,12,4.598,2.474,Notebook
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",Por Pro4ce,4.8,15,9.998,8.899,Notebook
DELL,Notebook Dell Latitude 5420 I5 11a Cinza 16gb De Ram 256ssd,,,,3.19,2.552,Notebook
Indefinido,"Bloco Rhodia Edição 90 Anos & Paper People 14,6x20,8cm 80fls",,,,54.0,5.0,Notebook
ASUS,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 7730U 16GB Ram 1TB SSD Linux KeepOS 15,6"" FHD Cool Silver NJ493",Por Asus,5.0,1,4.899,4.329,Notebook
Indefinido,"Notebook 15,6'' Fhd Ips Intel N95 8gb Ddr4 Ssd 256gb Hdmi",,,,3.958,395.0,Notebook
LENOVO,Notebook Lenovo E14 Core I7 10ger 16gb 240ssd Windows 11,Por SLA Informatica,,,3.199,319.0,Notebook
ASUS,"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",Por Siberiano,4.7,334,2.499,2.249,Notebook
DELL,Notebook Dell Core I5 10th Gen 16gb Ram 256gb Ssd Windows 11 Prateado,,,,1.99,199.0,Notebook
DELL,Notebook Dell Latitude Core I7-8565u 32gb Ddr4 Ssd 1 Tb,,,,3.285,328.0,Notebook
Positivo,"Notebook Positivo Vision R15 Lumina Bar Amd Ryzen 5 16gb 512gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo,3.9,23,3.899,2.768,Notebook
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb741w,Por Asus,4.6,9,4.4,440.0,Notebook
Indefinido,"Notebook Ultra UB220 15.6"" prata 4GB de Ram - 120GB SSD - Intel Celeron",,4.3,131,1.626,162.0,Notebook
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U, 12GB RAM, 512GB SSD, Linux, Tela 15,6"" HD 82VYS01000",,4.8,4660,3.999,399.0,Notebook
ASUS,Notebook Asus Zenbook Snapdragon X1 26 100 32gb Ram 1tb W11,Por Asus,5.0,1,9.699,969.0,Notebook
Apple,"MacBook Air M2 (2022) 13.6"" space gray 8GB de Ram - 256GB SSD - Apple M",,4.9,496,7.284,728.0,Notebook
LENOVO,"Notebook Lenovo Ideapad 3 R5 8gb 256gb Ssd 15,6'' W11 Cor Prateado",,4.9,230,120.0,12.245,Notebook
LENOVO,Notebook Lenovo Intel I5 10210u 8gb Ddr4 Ssd M.2 256gb 15.6,,,,2.899,289.0,Notebook
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por 2Eletro,,,4.11,3.142,Notebook
DELL,"Notebook Dell Latitude 5480 14"" preto 16GB de Ram - 256GB SSD - 16GB HDD - Intel Core i5",,4.0,45,2.999,299.0,Notebook
ACER,Notebook Acer Amd Ryzen 7 5700u A515-45-r8w2 8gb 512gb Ssd,,4.9,33,3.999,384.0,Notebook
DELL,Notebook Dell Latitude 3440 Intel Core I3 13th 8gb 256ssd Cor Cinza,,,,4.148,3.691,Notebook
LENOVO,Notebook Thinkpad E14 I5 10th 16gb 256ssd Preto,,,,2.299,229.0,Notebook
DELL,Notebook Dell Latitude 3470 Core I5 + 16 Gb Ram + 480 Gb Ssd,Por Tech Forte,4.5,320,2.199,219.0,Notebook
Multilaser,Notebook Multilaser M11w Prime 2 Em 1 - Pc301 - Em Cor Prateado,,,,1.79,179.0,Notebook
LENOVO,Notebook Lenovo Intel Core I3 10ger 8gb 240ssd 15pol Win 11,,,,2.399,239.0,Notebook
LENOVO,Ultrabook Lenovo Thinkpad L14 Gen2 I5-1145g7 16gb Nvme256+nf Cor Preto,,3.6,7,3.449,344.0,Notebook
HP,Notebook Hp 240 G8 Core I5 1135g7 8gb 256gb Ssd Win 11 Pro,Por SLA Informatica,4.8,126,3.299,329.0,Notebook
Dell,Notebook Dell Latitude Core I7 8ger 16gb Ram 480gb Ssd W11 Cor Preto,,,,3.909,390.0,Notebook
Vaio,Notebook Vaio Carbon Intel Core I5 10ger 8gb 240ssd 14pol,Por SLA Informatica,4.7,3,2.599,259.0,Notebook
LENOVO,Notebook Lenovo E14 Intel Core I5 10ger 16gb 240ssd Win 11 Cor Black,,5.0,1,3.756,375.0,Notebook
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Aceitável (Recondicionado),,5.0,17,1.799,172.0,Notebook
ASUS,Notebook Gamer Asus Tuf F15 Core I7 8gb 512ssd Linux Rtx3050 Cor Cinza,Por Eshop,4.5,61,7.64,5.59,Notebook
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",Por Pro4ce,4.8,15,9.998,8.899,Notebook
SAMSUNG,Notebook Samsung Galaxy Book4 Ultra 32gb Intel Core Ultra 7 1tb Ssd Windows 11 Home 16'' Wqxga Amoled Antirreflexo Touchscreen Np960xglxg2br Grafite,Por Samsung,4.7,53,11.343,1.134,Notebook
LENOVO,Notebook Lenovo Ultrafino Ideapad 3i I3-1215u 8gb 256gb Ssd,Por Login,,,2.999,2.699,Notebook
LENOVO,Notebook Lenovo LOQ 15irx9 Intel Core i5-13450HX 16gb 512gb SSD RTX 3050 Windows 11 - 83kh0006br Luna Grey,,,,6.329,632.0,Notebook
Apple,Apple Macbook Air 13  Chip M2 16gb Ram 256gb Ssd Cinza A2681 Cinza-espacial,,,,8.399,840.0,Notebook
Positivo,Notebook Positivo Vision R15 Ryzen 7 Linux 8gb 512gb Ssd,Por Positivo,4.5,20,3.999,2.999,Notebook
Vaio,Notebook Vaio Fe14 Core I3 Windows11 Pro 8gb 1tb Ssd,,,,1.959,195.0,Notebook
DELL,Notebook Dell Latitude 3420 Core I7 11th 64gb Ram 1tb Ssd Cor Grafite,,4.8,24,6.534,653.0,Notebook
Indefinido,"MacBook Pro A1989 (2019) 13.3"" cinza-espacial 8GB de Ram - 512GB SSD - Intel Core i5 - Excelente (Recondicionado)",,,,3.999,400.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T14 Intel Core I5 10ager 16gb 256gb,,,,1.969,197.0,Notebook
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507VU RTX4050 Core i7 13620H 8Gb Ram 512Gb SSD Linux 15,6"" FHD 144Hz Gray LP151",,5.0,61,8.91,891.0,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4 360, 16gb, Intel Core I7, 1tb Ssd, Windows 11 Home, 15.6'' Full Hd Amoled, Np750qgk-kg1br",Por Samsung,4.8,90,7.999,7.295,Notebook
DELL,Notebook I7 Dell 16gb 512gb Nvme 512gb Hd Nvidia M1200 4gb,,,,3.499,3.324,Notebook
Apple,"MacBook Air M2 (2022) 13.6"" starlight 8GB de Ram - 256GB SSD - Apple M",,4.9,496,7.089,681.0,Notebook
ASUS,Notebook Gamer Asus Tuf F15 Core I7 16gb 512ssd W11 Rtx 3050 Cor Cinza,Por Login,4.9,72,8.499,7.499,Notebook
LENOVO,"Notebook Lenovo Yoga Slim 6i Intel Core i5-1240P Evo 16gb 512gb SSD Windows 11 Home Tela 14"" Cor Storm grey 83C70000BR",,4.8,177,5.206,500.0,Notebook
ASUS,Notebook Asus Zenbook 14 Oled Ux3405ma Intel Core Ultra 9 185h Ai 32gb Ram 1tb Ssd Windows 11 Home Tela 14 Blue - Pp809w,Por Asus,3.7,6,12.999,12.219,Notebook
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Por 123 Comprou,4.8,103,3.665,1.979,Notebook
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou,4.8,2698,8.165,4.499,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.9,1149,4.999,3.379,Notebook
Indefinido,Notebook Ultra Win11 Home 14 Pol Celeron 4g Ram 128gb Ub250,Por Loja Multi,5.0,1,1.499,149.0,Notebook
LENOVO,Notebook Lenovo E14 Intel Core I5 10ger 8gb 240gb Ssd,Por SLA Informatica,5.0,3,2.699,269.0,Notebook
LENOVO,Notebook Lenovo Flex Core I5-10geração 8gb 256gb Touchscreen,,,,2.49,1.992,Notebook
DELL,Notebook Dell Inspiron I15-a0505-a20p R5 8gb 512gb 15.6 W11,Por Mercado Vendeu,4.7,516,3.743,3.331,Notebook
HP,Notebook Hp Elitebook 840 G7 Core I5 10ª Ger 16gb Ssd 256gb,,5.0,2,2.399,239.0,Notebook
Vaio,Notebook Vaio Fh15 I7-12650h Rtx 3050 64gb 1tb 15.6 Fullhd Cor Cinza-escuro,Por Vaio,,,9.959,7.199,Notebook
ASUS,"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",Por Webfones,4.8,277,2.999,2.209,Notebook
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER,3.5,6,7.599,5.399,Notebook
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou,4.6,173,2.331,1.399,Notebook
LENOVO,Notebook Lenovo Thinkpad T480 I7 8a Ger 16gb M2 256gb Brinde,,5.0,3,2.389,238.0,Notebook
Positivo,Notebook Positivo Vision C14 Intel® Celeron® Linux 4GB 128GB eMMC 14” HD Lumina BAR – Cinza,,4.6,3722,1.433,138.0,Notebook
LENOVO,Notebook Gamer Lenovo Loq-e Ci5-12450 Rtx3050 512gb 16gb W11,Por Mobcom,5.0,6,10.0,4.999,Notebook
LENOVO,Notebook Lenovo Thinkbook 14 Intel Core i5 16gb 256gb Windows 11 PRO,,,,5.399,539.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T480 I5 8a 16gb Ssd 240gb + Brinde,,4.3,7,1.698,169.0,Notebook
DELL,"Notebook Dell Core I7 4,0ghz 16gb Ssd M2 512gb Latitude",Por Canal Eletro,4.5,6,3.199,319.0,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
Positivo,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo,4.6,722,3.331,1.709,Notebook
LENOVO,"Notebook Lenovo Ideapad 1 Celeron 4gb 128gb Ssd 15,6 W11 Cor Cinza",Por 123 Comprou,4.6,2908,3.665,2.159,Notebook
ASUS,"Notebook Asus Vivobook 15 X1504za-Nj1217 Intel Core I5 1235u 4gb Ram 256gb Ssd Linux Keepos Tela 15,60 Azul",Por Asus,4.7,78,2.999,2.459,Notebook
ASUS,Notebook Asus Zenbook S14 Core Ultra7 258v 32gb 1tb Ssd W11,Por Asus,3.7,3,14.999,13.919,Notebook
DELL,Notebook Dell Core I5 8ª Ger 16gb Ssd 256gb Latitude,Por Canal Eletro,5.0,1,1.999,199.0,Notebook
DELL,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,,4.8,1043,3.999,399.0,Notebook
Apple,"MacBook Air M2 (2022) 13.6"" silver 8GB de Ram - 256GB SSD - Apple M",,4.9,496,7.349,734.0,Notebook
DELL,Notebook Dell Latitude 3490 Core I5 8a Ssd 256gb 8gb Win10,Por 4Show,5.0,5,2.699,269.0,Notebook
LENOVO,Notebook Core I7(10ª Ger)16gb Ram 256ssd Bluetooth Hdmi Usbc,,,,2.69,269.0,Notebook
ASUS,"Notebook ASUS TUF Gaming A15 FA506NFR RTX 2050 AMD Ryzen 7 7435HS 16Gb Ram 512Gb SSD Windows 11 Home Tela 144Hz nivel IPS 15,6"" FHD Graphite Black - HN060W",Por Asus,4.6,9,5.999,5.319,Notebook
LENOVO,"Lenovo Thinkpad I7 8a 8gb Ssd 240gb Tela 12,5 + Mouse Brinde",,,,2.569,1.85,Notebook
DELL,Notebook Dell Latitude Core I7-8565u 32gb Ddr4 Ssd 500,,,,2.985,298.0,Notebook
HP,Notebook Hp Probook 645 G4 Amd Ryzen 3 2300u 8gb256gb Wifi,,5.0,2,1.459,145.0,Notebook
LENOVO,Notebook Lenovo Thinkpad X1 Carbon Intel I7 8650u 16gb 256gb,,5.0,1,2.815,2.111,Notebook
DELL,Notebook Dell Inspiron 5440 Core 7 150u 16gb 512ssd Mx570a Cor Prateado,,,,6.922,6.16,Notebook
Positivo,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",,4.7,168,1.718,171.0,Notebook
Indefinido,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável antiderrapante Macio Geonav Preto E Azul,,4.9,33,39.0,3.0,Notebook
HP,Notebook Hp Elitebook 840 G7 Core I5 10ª 8gb Ssd 256gb 14,,5.0,2,2.249,224.0,Notebook
DELL,Notebook Dell Latitude 3400 Core I5 8a Ssd 256gb 8gb Win10,Por 4Show,4.8,13,2.699,269.0,Notebook
DELL,"Notebook Inspiron 3511 15.6"" preto 8GB de Ram - 256GB SSD - Intel Core i5",,4.6,14,3.896,3.467,Notebook
LENOVO,"Notebook Lenovo Yoga Slim 7i Intel Core Ultra 5 125H 16gb RAM 512gb SSD Windows 11 Home Tela 14"" 83GM0003BR",Por Fast Shop,5.0,4,5.506,550.0,Notebook
Vaio,Notebook Vaio Fe16 Amd Ryzen 55625u 12gb 512g Ssd Linux 16'',Por Eshop,,,3.849,3.275,Notebook
Indefinido,Rhodia Katakana 162100K 80 folhas  quadriculadas 1 assuntos unidade x 1 14.8cm x 21cm cor laranja,,,,55.0,5.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T420 Core I5 2.50ghz 16gb Ssd 256,,5.0,3,1.499,149.0,Notebook
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507ZC4 RTX 3050 Intel Core i5 12500H 16Gb Ram 512Gb SSD Linux KeepOS Tela 15,6"" 144Hz Gray - HN232",Por Asus,4.9,12,5.799,557.0,Notebook
Acer,Baita Notebook Emachines Acer Intel Em Oferta!!,,,,699.0,69.0,Notebook
SAMSUNG,"Samsung Chromebook 4 Intel Dual-Core 4GB 32GB Tela 11.6"" Prata XE310XBA-KT3BR Google Chrome OS HD LED",,4.6,1550,1.267,122.0,Notebook
Indefinido,"Bloco Rhodia Edição 90 Anos & Paper People 7,2x10,3cm 80 Fls",,,,24.0,,Notebook
HP,"Note Hp, Elitebook 840 G6, 14'', Core I5, 8gb, Ssd-256gb",Por OTH Produtos,5.0,6,1.89,181.0,Notebook
Apple,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Cinza-espacial",,4.9,1083,6.149,614.0,Notebook
ACER,Notebook Gamer Acer Nv 7037 I713ªg 16gb 512ssd Rtx4050 Gutta,Por Acer Brasil,4.8,101,6.999,6.199,Notebook
Indefinido,"Bloco Rhodia Edição 90 Anos & Paper People 10,3x14,6cm 80fls",,,,34.0,3.0,Notebook
ASUS,"Notebook Asus Vivobook Go E1504GA Intel Core I3 N305 4Gb Ram 256Gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj447",,4.6,406,2.399,2.249,Notebook
Apple,"MacBook Pro MacBook Pro 14"" M3 Pro 14"" space black 18GB de Ram - 512GB SSD - Apple M3",,4.8,76,13.459,1.293,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Ryzen 7 7730u 40gb 512ssd Win11 Preto,,,,3.999,3.759,Notebook
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507ZC4 RTX 3050 Intel Core i5 12500H 8Gb Ram 512Gb SSD Linux KeepOs Tela de 15,60"" 144Hz Mecha Gray - HN100",,4.9,34,5.49,527.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Amd Ryzen 5 16gb 512gb W11 Pro,,,,5.641,564.0,Notebook
ASUS,"Notebook ASUS TUF Gaming F15 FX507VV RTX4060 Intel Core i7 13620H 8Gb Ram 512Gb SSD Linux KeepOS Tela Nível IPS 15,6"" LED 165Hz Mecha Gray - HQ334",Por Asus,5.0,5,9.299,7.949,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",Por Pro4ce,4.8,15,9.998,8.899,Notebook
Positivo,"Notebook Positivo Vision i15 Intel Core i5 11ª gen 8GB RAM 512GB SSD, Lumina Bar Windows 11 Home, Tela 15” Full HD Antirreflexo – Cinza",,4.9,47,3.123,300.0,Notebook
LENOVO,Notebook Lenovo Thinkpad E14 Amd Ryzen 5 16gb 512gb W11 Pro,,,,5.641,564.0,Notebook
ASUS,"Notebook ASUS TUF Gaming F15 FX507VV RTX4060 Intel Core i7 13620H 8Gb Ram 512Gb SSD Linux KeepOS Tela Nível IPS 15,6"" LED 165Hz Mecha Gray - HQ334",Por Asus,5.0,5,9.299,7.949,Notebook
ASUS,Notebook Asus Vivobook 15 Intel Core I5 1235u 16gb 512ssd,Por Asus,4.0,4,3.799,3.309,Notebook
ACER,Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,Por Acer Brasil,4.8,318,5.299,4.679,Notebook
DELL,Notebook Dell Latitude 5490 Core I7 8 Geração 16gb Ssd 240gb,,,,3.899,389.0,Notebook
Apple,"MacBook Air 13-inch 13"" midnight 8GB de Ram - 256GB SSD - Apple Chip M3",,4.8,56,9.1,874.0,Notebook
Indefinido,"Notebook Hq Joy, I5 1035g1 8gb Ssd 256gb 15.6 Windows 11",,5.0,1,2.999,299.0,Notebook
ASUS,Notebook Asus Celeron N4020 15.6 128gb W11h X515ma-br933ws,,4.7,808,2.469,237.0,Notebook
ASUS,Notebook Dell Inspiron I3 8gb 256gb 15 Win11,,,,2.9,278.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T490 Core I5 8ªger 16gb Ssd 256gb,,4.3,8,2.398,239.0,Notebook
Indefinido,"Bloco Rhodia Edição 90 Anos & Paper People 20,8x31,6cm 80fls",,,,99.0,9.0,Notebook
DELL,"Notebook Dell Inspiron Intel Core I5 1235U 12ª Geração 16GB RAM, 512 SSD, Linux, Tela 15.6 Full Hd I15-I120K-U30P",,4.8,130,4.256,425.0,Notebook
ACER,Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,,4.7,138,3.072,295.0,Notebook
ACER,Notebook Predator Acer Phn16-71-72w6 Ci7 16gb 512ssd Rtx4060,Por Acer Brasil,4.7,35,10.999,8.399,Notebook
DELL,Notebook Dell Latitude 3490 Core I7 8ger 16gb 512gb Ssd Preto,,3.9,7,3.999,399.0,Notebook
HP,Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,Por HP,5.0,1,8.177,4.599,Notebook
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom,,,6.656,5.099,Notebook
ASUS,Notebook Asus Vivobook 15 Intel Core I5 1235u 8gb 512ssd W11,Por Asus,5.0,5,3.699,3.129,Notebook
DELL,Notebook Dell Core I5 8ª Ger 16gb Ssd 256gb Latitude,Por Canal Eletro,4.7,3,1.899,182.0,Notebook
LENOVO,Notebook Lenovo V15 G3 Iap/i5-1235u/8gb/ssd256gb/w11pro,,5.0,1,3.699,369.0,Notebook
Vaio,Notebook VAIO FE16 Amd Ryzen 7 - 5700u Linux 16gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0811h,Por Vaio,4.2,5,4.499,3.579,Notebook
Apple,"Apple MacBook Pro A2992 14"" space black 18GB de Ram - 512GB SSD M3",,5.0,6,14.027,1.402,Notebook
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Bom (Recondicionado),,5.0,17,1.749,174.0,Notebook
ASUS,Notebook Asus X515 N4500 16gb Ram Ddr4 512gb Nvme Windows 11,,,,3.299,3.035,Notebook
Positivo,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo,4.7,86,3.999,2.889,Notebook
ASUS,Notebook Asus Zenbook S14 Oled Ux5406sa Intel Core Ultra 7 256v 16gb Ram 1tb Ssd Windows 11 Home Tela 14 Fhd 120hz Gray - Pz176w,Por Asus,,,13.999,10.269,Notebook
ASUS,Notebook Asus Vivobook Pentium Gold 7505 4gb 128ssd W11 Fhd,,4.7,210,2.289,220.0,Notebook
ASUS,"Notebook ASUS VivoBook 16 X1605ZA-MB310 Intel Core i7 1255U 3,5 GHz 8Gb Ram 256Gb SSD Keep OS LED FHD Prata Metálico",,4.8,95,3.59,345.0,Notebook
Positivo,Notebook Positivo Vision R15 Ryzen 7 Linux 8gb 256gb Ssd,Por Positivo,5.0,5,3.599,2.749,Notebook
Indefinido,"Bloco De Notas Rhodia 15,5x22cm Capa Couro Preto",,,,184.0,18.0,Notebook
LENOVO,"Notebook Lenovo I7 8a 8gb Ssd 240gb Tela 12,5 + Mouse Brinde",,,,2.199,1.693,Notebook
SAMSUNG,Notebook Samsung Galaxy Book4 I3- 1335u 512gb Np754xgj-kg3br,,5.0,1,4.999,480.0,Notebook
Apple,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Ouro",,4.9,1083,5.699,547.0,Notebook
